pointcall_outdate,different date if any,captain_name,different capt if any,ship_name,different ship_name if any,ship_homeport,different homeport if any,observations,geniève (pintes de Paris),eau-de-vie (pintes de Paris),Taffia (pintes de Paris),tabac en feuilles (livres poids),thé (livres poids),corinthes (livres poids),vin rouge (pintes),vin fin (pintes),vin (barriques),vin (pots),liqueurs (pintes),tabac en poudre (livre poids),tabac fabriqué (livres poids),tabac en côtes (livres poids),drogues (livres poids),rhubarbre (livres poids),amidon (livres poids),café (livres poids),sucre brut (livres poids),sucre rafiné (livres),sucre en pain (livres poids),mousseline (livres poids),mousseline (livres tounois),mousseline des Indes (livres tournois),mousselines et mouchoirs (livres tournois),mouchoirs de mousseline (livres poids),mouchoirs de mousselin (valeur en £-stg),mouchoirs de soie (livres poids),mouchoirs de soie (livres tournois),perses (livres poids),nankins (livres poids),nankins (pièces),mouchoirs de Bandannoes (livres poids),Bandanoes (livres poids),bandanoes (valeur livres tournois),Bandanoes (pièces),Dimity (?) (livres poids),crêpes (livres poids),Soie des Indes (livres poids),soie et mousseline (livres tournois),marchandises des Indes (livres tournois),soieries (livres tournois),Jalap (livres poids),Taffetas (livres poids),Cambray (en livres tournois),Cambray (en £ stg),cambray (livres poids),Gauzes (livres poids),mercerie fine (livres poids),sené (livres poids),nacres de perle (livres tournois),pots de vess (en bouteiilles) /  potjevleesch???,porcelaine (livres tournois),voiture,Chocolat (livres poids),cartes à jouer (en livres poids),poudre à poudrer (livres poids),ship_id,ship_tonnage,pointcall_name,homeport_uhgs_id,ship_flag_standardized_fr,source_doc_id,homeport_lat,homeport_long,homeport_standardized_fr,mois,outdate,homeport_geom4326,homeport_comte,homeport_substate_1789_fr,homeport_state_1789_fr,pointcall_uhgs_id,pointcall_toponyme_fr,pointcall_toponyme_en,pointcall_lat,pointcall_long,pointcall_substate_1789_fr,pointcall_state_1789_fr,pointcall_partner_balance_1789,pointcall_partner_balance_supp_1789,pointcall_geom4326,shipment_price,shipment_price
1787=01=03,1787=01=04,"Brookes, Thomas","Brooks, Thomas",Betzy,,Lee,,,800,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000715N,12,Lisbonne [mais: Angleterre],A0385891,britannique,109748,"50,8","-1,2",Lee on Solent,1,1787-01-03,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),590,590
1787=02=21,,"Ramer, James",,Elisabeth,,Lee,,,1580,200,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000931N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110017,"50,8","-1,2",Lee on Solent,2,1787-02-21,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1157,1157
1787=04=24,,"Brookes, Thomas",,Betzy,,Lee,,,1000,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000715N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110481,"50,8","-1,2",Lee on Solent,4,1787-04-24,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),614,614
1787=06=01,,"Bloye, John",,Lark,,Lee,,,2960,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000111N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110690,"50,8","-1,2",Lee on Solent,6,1787-06-01,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1794,1794
1787=01=04,,"Rainer, James",,Elisabeth,,Lee,,,1680,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000931N,12,Lisbonne [mais: Angleterre],A0385891,britannique,109749,"50,8","-1,2",Lee on Solent,1,1787-01-04,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1180,1180
1787=02=21,,"Jones, John",,Lark,,Lee,Burnham,,3140,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000111N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110011,"50,8","-1,2",Lee on Solent,2,1787-02-21,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2207,2207
1787=06=27,,"Brooks, Thomas",,Betzy,,Lee,,,760,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000715N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110833,"50,8","-1,2",Lee on Solent,6,1787-06-27,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),519,519
1787=12=28,,"Seaman, François",,Sprigtley,Actif,Walton [Walton on the Naze],Watson,,1400,700,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000016N,12,Lisbonne [mais: Angleterre],A0387362,britannique,111943,"51,85","1,283,333",Walton,12,1787-12-28,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1276,1276
1787=09=20,,"Barber, Samuel",,Sally,,Walton,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,111387,"51,85","1,283,333",Walton,9,1787-09-20,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=06=21,1787=06=20,"Barber, Samuel",,Sally,,Waldon,Walton,,1800,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,110807,"51,85","1,283,333",Walton,6,1787-06-21,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1204,1204
1787=02=22,,"Barber, Samuel",,Sally,,Walton,,,1380,520,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Bergen [mais: Angleterre],A0387362,britannique,110024,"51,85","1,283,333",Walton,2,1787-02-22,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1169,1169
1787=01=24,1787=01=25,"Barber, Samuel",,Sally,,Walton,,,1720,600,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,109849,"51,85","1,283,333",Walton,1,1787-01-24,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1440,1440
1787=03=16,,"Barber, Samuel",,Sally,,Walton,,,1860,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,110181,"51,85","1,283,333",Walton,3,1787-03-16,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1299,1299
1787=12=20,,"Richmont, James","Richmond, James",Rambler,,Burham,,,1160,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000453N,12,Lisbonne [mais: Angleterre],A0390524,britannique,111920,"51,616,667","833,333",Burnham,12,1787-12-20,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),874,874
1787=12=19,,"Richmonds, William","Richmond, William",Rossignol,,Burnham,,,3160,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001145N,12,Lisbonne [mais: Angleterre],A0390524,britannique,111917,"51,616,667","833,333",Burnham,12,1787-12-19,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2231,2231
1787=08=16,,"Barber, Samuel",,Sally,,Walton,,,600,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,111135,"51,85","1,283,333",Walton,8,1787-08-16,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1180,1180
1787=08=20,,"Harris, William",,Résolution,,,,NOT in the Manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003905N,12,Lisbonne [mais: Angleterre],,britannique,111172,,,,8,1787-08-20,,,,,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=05=22,,"Barber, Samuel",,Sally,,Walton,,,1950,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Bergen [mais: Angleterre],A0387362,britannique,110638,"51,85","1,283,333",Walton,5,1787-05-22,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1304,1304
1787=02=01,,"Blyth, John","Blyth, Jean (spelling?)",Speedy,,Burnham,,,4000,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000115N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109885,"51,616,667","833,333",Burnham,2,1787-02-01,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2715,2715
1787=01=31,1787=01=26,"Webster, Jonathan",,Wasp,,Burnham,,,1500,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000010N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109880,"51,616,667","833,333",Burnham,1,1787-01-31,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2774,2774
1787=01=18,,"Stone, Thomas",,Cleverly,,Burnham,,,2000,480,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001120N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109819,"51,616,667","833,333",Burnham,1,1787-01-18,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1535,1535
1787=01=17,1787=01=18,"Dyer, John",,Pinck,Oeuillet,Burnham,,,1400,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001121N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109810,"51,616,667","833,333",Burnham,1,1787-01-17,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1889,1889
1787=01=17,,"Wiseman, James","Wyseman, James",Aimable Anne,,Burnham,,,2000,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001284N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109813,"51,616,667","833,333",Burnham,1,1787-01-17,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1417,1417
1787=01=13,,"Richmont, William","Richmont, Peter (spelling?)",Neptune,,Burnham,,,2000,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000603N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109791,"51,616,667","833,333",Burnham,1,1787-01-13,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1889,1889
1787=04=14,,"Potts, Thomas",,Suckey,,Storighton,Stoughton,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0009841N,12,Aberdeen,A0409181,britannique,110427,"50,9","-0,45",Storrington,4,1787-04-14,POINT (-0.45 50.9),Sussex,Angleterre,Grande-Bretagne,A0383886,Aberdeen,Aberdeen,"57,133,333","-2,1",Ecosse,Grande-Bretagne,Angleterre,Etranger,POINT (-2.1 57.133333),708,708
1787=01=10,,"Blyth, John",,Speedy,,Burnham,,,5000,800,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000115N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109776,"51,616,667","833,333",Burnham,1,1787-01-10,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),3428,3428
1787=05=30,,"Richardson, Henry",,Fanny,,Burnham,,,1200,40,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003575N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110679,"51,616,667","833,333",Burnham,5,1787-05-30,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2172,2172
1787=05=12,,"Walles, Guillaume",,Trois Frères,,Saint Hélène,,,400,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000484N,12,Lisbonne [mais: Angleterre],A0380160,britannique,110560,"50,7","-1,116,667",Saint Helens,5,1787-05-12,POINT (-1.116667 50.7),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1676,1676
1787=01=19,,"Richmond, Peter",,Rambler,,Burnham,,,1600,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000453N,12,Bergen [mais: Angleterre],A0390524,britannique,109829,"51,616,667","833,333",Burnham,1,1787-01-19,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1204,1204
1787=01=10,1787=01=11,"Wyseman, Ledge","Wyseman, Lidge (spelling?)",Amitié,,Burnham,,,2520,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000798N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109782,"51,616,667","833,333",Burnham,1,1787-01-10,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1724,1724
1787=11=15,,"Burt, Jean",,Prince de Galles,,Londres,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000748N,100,Londres,A0381691,britannique,111685,"51,516,667","-0,1",Londres,11,1787-11-15,POINT (-0.1 51.516667),Middlesex,Angleterre,Grande-Bretagne,A0381691,Londres,London,"51,516,667","-0,1",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-0.1 51.516667),0,0
1787=12=12,,"Johnson, James",,Dunkerque,,Londres,,NOT in the Manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000492N,96,Londres,A0381691,britannique,111860,"51,516,667","-0,1",Londres,12,1787-12-12,POINT (-0.1 51.516667),Middlesex,Angleterre,Grande-Bretagne,A0381691,Londres,London,"51,516,667","-0,1",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-0.1 51.516667),0,0
1787=02=14,,"Wood, James",,Amitié,,Douvres,,,40,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000704N,12,Lisbonne [mais: Angleterre],A0382747,britannique,109976,"51,133,333","1,3",Douvres,2,1787-02-14,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),24,24
1787=07=20,,"Stericker, John",,Joseph,,Douvres,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0007375N,12,Douvres,A0382747,britannique,110968,"51,133,333","1,3",Douvres,7,1787-07-20,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0382747,Douvres,Dover,"51,133,333","1,3",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (1.3 51.133333),47,47
1787=07=07,,"Waller, Thomas",,Amitié,,Douvres,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000704N,12,Douvres,A0382747,britannique,110900,"51,133,333","1,3",Douvres,7,1787-07-07,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0382747,Douvres,Dover,"51,133,333","1,3",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (1.3 51.133333),24,24
1787=05=29,,"Harmond, Henry","Harmon, Henry",Thomas et Polly,Bonne Intention,Margate,Folkestone,,40,20,8,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001731N,12,,A0387292,,110673,"51,08","1,183",Folkestone,5,1787-05-29,POINT (1.183 51.08),Kent,Angleterre,Grande-Bretagne,,,,,,,,,,,1480,1480
